순위	player	team	avg	g	pa	ab	r	h	2b	3b	hr	tb	rbi	sac	sf	year	position	bb	ibb	hbp	so	gdp	slg	obp	ops	mh	risp	ph-ba	xbh	go	ao	go/ao	gw/rbi	bb/k	p/pa	isop	xr	gpa	pk
22	조인성	SK	0.213	88	223	207	16	44	10	0	7	75	29	5	1	2013	catcher	7	0	2	65	4	0.362	0.244	0.606	6	0.26	0.333	17	54	45	1.2	0	0.11	3.55	0.15	17.4	0.2	2013_조인성
23	윤요섭	LG	0.204	89	228	186	20	38	8	1	1	51	30	9	4	2013	catcher	23	0	6	32	6	0.274	0.306	0.58	6	0.309	0	10	58	62	0.94	0	0.72	3.8	0.07	17.5	0.206	2013_윤요섭
24	조윤준	LG	0.2	19	32	30	3	6	0	1	0	8	5	1	0	2013	catcher	0	0	1	9	1	0.267	0.226	0.493	1	0.25	0	1	10	5	2	0	0	3.81	0.067	1.3	0.168	2013_조윤준
24	이준수	한화	0.2	47	74	65	6	13	3	0	0	16	6	2	1	2013	catcher	3	0	3	21	0	0.246	0.264	0.51	4	0.3	0	3	16	16	1	0	0.14	3.95	0.046	4.8	0.18	2013_이준수
26	박동원	넥센	0.194	69	106	98	5	19	6	0	1	28	6	0	0	2013	catcher	7	0	1	28	6	0.286	0.255	0.541	1	0.217	0.333	7	31	20	1.55	0	0.25	4.11	0.092	5.1	0.186	2013_박동원
27	백용환	KIA	0.173	26	58	52	4	9	4	0	0	13	3	0	0	2013	catcher	6	0	0	16	3	0.25	0.259	0.509	0	0.071	0.25	4	10	17	0.59	0	0.38	3.78	0.077	2.3	0.179	2013_백용환
28	이홍구	KIA	0.157	51	96	89	6	14	1	1	2	23	9	1	0	2013	catcher	5	0	1	44	1	0.258	0.211	0.469	0	0.235	0	4	15	16	0.94	0	0.11	3.69	0.101	4.2	0.159	2013_이홍구
29	용덕한	롯데	0.148	56	101	88	6	13	1	0	1	17	4	5	1	2013	catcher	7	0	0	24	2	0.193	0.208	0.401	5	0.174	0	2	31	21	1.48	0	0.29	3.63	0.045	3.1	0.142	2013_용덕한
30	이태원	NC	0.146	70	97	82	5	12	2	0	0	14	4	4	0	2013	catcher	8	0	3	26	3	0.171	0.247	0.418	3	0.167	0	2	33	11	3	0	0.31	3.93	0.024	2.7	0.154	2013_이태원
31	이성우	KIA	0.136	15	24	22	0	3	0	0	0	3	0	2	0	2013	catcher	0	0	0	7	1	0.136	0.136	0.272	0	0.2	0	0	8	4	2	0	0	3.71	0	-0.6	0.095	2013_이성우
32	김재민	LG	0.125	10	8	8	0	1	0	0	0	1	0	0	0	2013	catcher	0	0	0	3	1	0.125	0.125	0.25	0	0	0	0	1	3	0.33	0	0	3	0	-0.5	0.088	2013_김재민
32	허준	NC	0.125	14	17	16	1	2	0	0	1	5	4	0	1	2013	catcher	0	0	0	5	1	0.313	0.118	0.431	0	0.25	0	1	6	4	1.5	0	0	4.53	0.188	0.6	0.131	2013_허준
34	박경완	SK	0.105	8	21	19	1	2	0	0	1	5	1	1	0	2013	catcher	0	0	1	5	1	0.263	0.15	0.413	0	0	0	1	7	5	1.4	0	0	3.76	0.158	0.4	0.133	2013_박경완
35	김사훈	롯데	0.103	17	35	29	2	3	1	0	0	4	1	1	0	2013	catcher	4	0	1	8	1	0.138	0.235	0.373	0	0.333	0	1	11	7	1.57	0	0.5	3.77	0.034	0.7	0.14	2013_김사훈
36	최승환	한화	0.071	10	16	14	0	1	0	0	0	1	0	0	0	2013	catcher	2	0	0	4	2	0.071	0.188	0.259	0	0	0	0	5	4	1.25	0	0.5	4	0	-0.8	0.102	2013_최승환
37	한승택	한화	0.03	24	38	33	2	1	0	0	0	1	2	1	0	2013	catcher	3	0	1	12	0	0.03	0.135	0.165	0	0	0	0	9	11	0.82	0	0.25	3.47	0	-1.1	0.068	2013_한승택
38	지재옥	넥센	0	18	12	10	1	0	0	0	0	0	0	0	0	2013	catcher	2	0	0	5	0	0	0.167	0.167	0	0	0	0	3	2	1.5	0	0.4	4.17	0	-0.3	0.075	2013_지재옥
38	김태우	NC	0	7	14	13	1	0	0	0	0	0	0	0	0	2013	catcher	1	0	0	5	0	0	0.071	0.071	0	0	0	0	4	4	1	0	0.2	4	0	-0.9	0.032	2013_김태우
1	김광연	KIA	0.625	4	8	8	2	5	0	0	0	5	0	0	0	2013	infielder	0	0	0	1	1	0.625	0.625	1.25	1	0	1	0	1	1	1	0	0	4.38	0	1.9	0.438	2013_김광연
2	백상원	삼성	0.5	5	4	4	1	2	1	0	0	3	1	0	0	2013	infielder	0	0	0	1	0	0.75	0.5	1.25	1	1	0	1	1	0	-	0	0	4	0.25	1	0.413	2013_백상원
2	강진성	NC	0.5	3	3	2	1	1	1	0	0	2	0	0	0	2013	infielder	1	0	0	0	0	1	0.667	1.667	0	0	0.5	1	0	1	0	0	-	5.33	0.5	1	0.55	2013_강진성
4	채태인	삼성	0.381	94	342	299	52	114	15	0	11	162	53	0	0	2013	infielder	38	1	5	70	9	0.542	0.459	1.001	35	0.41	0.571	26	78	37	2.11	0	0.54	3.92	0.161	65.4	0.342	2013_채태인
5	김동한	두산	0.35	26	22	20	9	7	2	1	1	14	4	0	0	2013	infielder	2	0	0	2	0	0.7	0.409	1.109	2	0.167	0.333	4	5	6	0.83	0	1	3.36	0.35	5.8	0.359	2013_김동한
6	김태균	한화	0.319	101	430	345	41	110	24	0	10	164	52	0	4	2013	infielder	73	7	8	67	14	0.475	0.444	0.919	29	0.281	0	34	98	74	1.32	0	1.09	4.28	0.157	70.2	0.319	2013_김태균
7	박석민	삼성	0.318	117	474	396	61	126	24	0	18	204	76	0	2	2013	infielder	54	1	21	73	13	0.515	0.425	0.94	37	0.385	0	42	107	92	1.16	0	0.74	4.09	0.197	81.7	0.32	2013_박석민
8	박병호	넥센	0.318	128	556	450	91	143	17	0	37	271	117	0	6	2013	infielder	92	4	8	96	7	0.602	0.437	1.039	40	0.288	0	54	101	116	0.87	0	0.96	4.05	0.284	116.1	0.347	2013_박병호
9	최정	SK	0.316	120	525	434	75	137	18	0	28	239	83	1	2	2013	infielder	64	9	24	109	10	0.551	0.429	0.98	32	0.302	1	46	65	125	0.52	0	0.59	3.99	0.235	99.1	0.331	2013_최정
10	김재호	두산	0.315	91	286	248	42	78	10	3	1	97	32	10	2	2013	infielder	26	0	0	24	7	0.391	0.377	0.768	14	0.37	0	14	75	73	1.03	0	1.08	3.74	0.077	35.4	0.267	2013_김재호
11	이원석	두산	0.314	85	300	264	40	83	12	0	10	125	39	1	3	2013	infielder	29	0	3	49	7	0.473	0.385	0.858	21	0.279	0.333	22	50	85	0.59	0	0.59	4.06	0.159	46.1	0.292	2013_이원석
12	정성훈	LG	0.312	121	477	407	64	127	22	1	9	178	62	0	4	2013	infielder	59	0	7	58	12	0.437	0.405	0.842	33	0.299	0.167	32	120	106	1.13	0	1.02	3.95	0.125	71.6	0.292	2013_정성훈
13	김선빈	KIA	0.3	88	363	310	51	93	12	0	1	108	29	8	4	2013	infielder	39	0	2	26	10	0.348	0.377	0.725	26	0.214	0	13	116	79	1.47	0	1.5	3.81	0.048	42.9	0.257	2013_김선빈
13	조중근	넥센	0.3	10	10	10	0	3	0	0	0	3	2	0	0	2013	infielder	0	0	0	0	1	0.3	0.3	0.6	0	0.4	0.3	0	3	4	0.75	0	-	3.4	0	0.5	0.21	2013_조중근
13	장운호	한화	0.3	11	21	20	1	6	3	0	0	9	4	0	0	2013	infielder	1	0	0	6	1	0.45	0.333	0.783	2	0.333	0	3	5	3	1.67	0	0.17	3.95	0.15	2	0.262	2013_장운호
16	오재일	두산	0.299	55	144	117	16	35	12	0	3	56	28	1	3	2013	infielder	20	2	3	28	0	0.479	0.406	0.885	5	0.341	0.429	15	23	34	0.68	0	0.71	3.81	0.179	23.8	0.302	2013_오재일
17	홍성흔	두산	0.299	127	538	469	61	140	21	0	15	206	72	3	3	2013	infielder	57	0	6	93	15	0.439	0.379	0.818	38	0.297	0.333	36	131	108	1.21	0	0.61	3.94	0.141	75.4	0.28	2013_홍성흔
18	김상수	삼성	0.298	115	422	372	57	111	17	3	7	155	44	9	6	2013	infielder	30	1	5	44	7	0.417	0.354	0.771	33	0.286	0	27	119	104	1.14	0	0.68	3.77	0.118	56.3	0.264	2013_김상수
18	박준서	롯데	0.298	79	139	124	15	37	6	1	2	51	32	0	0	2013	infielder	13	1	2	23	5	0.411	0.374	0.785	5	0.373	0.314	9	38	26	1.46	0	0.57	4.19	0.113	17.7	0.271	2013_박준서
20	허경민	두산	0.298	75	276	228	35	68	9	1	1	82	25	7	5	2013	infielder	27	0	9	14	7	0.36	0.387	0.747	17	0.243	0	11	86	65	1.32	0	1.93	3.88	0.061	36	0.264	2013_허경민
21	최주환	두산	0.297	47	100	91	12	27	5	1	2	40	10	0	1	2013	infielder	8	1	0	9	3	0.44	0.35	0.79	6	0.214	0.24	8	27	29	0.93	0	0.89	3.55	0.143	13.3	0.268	2013_최주환
22	윤석민	두산	0.294	21	73	68	12	20	5	0	2	31	8	0	0	2013	infielder	4	0	1	14	1	0.456	0.342	0.798	4	0.2	0	7	21	13	1.62	0	0.29	3.66	0.162	10.2	0.268	2013_윤석민
23	박정권	SK	0.292	110	434	363	56	106	20	1	18	182	70	0	6	2013	infielder	64	5	1	79	5	0.501	0.394	0.895	25	0.262	0.5	39	95	89	1.07	0	0.81	4.18	0.209	72.6	0.303	2013_박정권
24	김민우	넥센	0.292	33	55	48	5	14	1	1	0	17	11	0	1	2013	infielder	5	0	1	8	1	0.354	0.364	0.718	3	0.316	0.1	2	12	15	0.8	0	0.63	3.89	0.063	6.5	0.252	2013_김민우
25	강정호	넥센	0.291	126	532	450	67	131	21	1	22	220	96	2	6	2013	infielder	68	3	6	109	18	0.489	0.387	0.876	35	0.328	0	44	94	122	0.77	0	0.62	4.01	0.198	82.4	0.296	2013_강정호
26	박기남	KIA	0.287	91	214	174	35	50	11	0	4	73	21	11	2	2013	infielder	25	0	2	28	4	0.42	0.379	0.799	11	0.289	0.111	15	52	46	1.13	0	0.89	3.86	0.132	29	0.276	2013_박기남
27	홍명찬	SK	0.286	5	7	7	1	2	0	0	0	2	0	0	0	2013	infielder	0	0	0	2	0	0.286	0.286	0.572	0	0	0	0	3	0	-	0	0	3.29	0	0.5	0.2	2013_홍명찬
27	고영민	두산	0.286	10	17	14	3	4	1	0	1	8	1	0	0	2013	infielder	3	1	0	5	1	0.571	0.412	0.983	1	0	0	2	3	2	1.5	0	0.6	4.06	0.286	3	0.328	2013_고영민
29	김민성	넥센	0.282	128	523	458	60	129	24	2	15	202	72	3	4	2013	infielder	42	1	16	84	11	0.441	0.36	0.801	31	0.301	0	41	112	137	0.82	0	0.5	3.93	0.159	70.9	0.272	2013_김민성
30	조영훈	NC	0.282	120	426	380	38	107	26	3	6	157	39	3	2	2013	infielder	39	1	2	56	6	0.413	0.35	0.763	27	0.248	0.273	35	94	125	0.75	0	0.7	3.71	0.132	53.1	0.261	2013_조영훈
31	정근우	SK	0.28	112	476	407	64	114	19	3	9	166	35	11	1	2013	infielder	50	6	7	48	6	0.408	0.368	0.776	30	0.321	0	31	134	112	1.2	0	1.04	3.4	0.128	63.5	0.268	2013_정근우
32	이호준	NC	0.278	126	508	442	46	123	25	1	20	210	87	0	5	2013	infielder	60	3	1	109	8	0.475	0.362	0.837	35	0.358	0	46	114	101	1.13	0	0.55	4.13	0.197	75.5	0.282	2013_이호준
33	모창민	NC	0.276	108	436	395	57	109	24	3	12	175	51	2	1	2013	infielder	37	0	1	68	11	0.443	0.339	0.782	36	0.351	0	39	114	105	1.09	0	0.54	3.79	0.167	57.6	0.263	2013_모창민
34	김용의	LG	0.276	109	348	301	42	83	6	5	5	114	34	10	3	2013	infielder	34	2	0	58	6	0.379	0.346	0.725	17	0.291	0.25	16	90	73	1.23	0	0.59	3.86	0.103	42.3	0.25	2013_김용의
35	황재균	롯데	0.274	128	559	489	70	134	29	3	7	190	56	7	4	2013	infielder	49	3	10	78	14	0.389	0.35	0.739	32	0.246	0	39	141	140	1.01	0	0.63	3.86	0.115	65.8	0.255	2013_황재균
36	이현곤	NC	0.273	91	161	139	10	38	7	0	0	45	9	3	0	2013	infielder	16	0	3	14	4	0.324	0.361	0.685	8	0.275	0.211	7	55	32	1.72	0	1.14	3.55	0.05	16.8	0.243	2013_이현곤
38	김지수	넥센	0.271	37	60	48	9	13	2	0	0	15	3	4	1	2013	infielder	7	0	0	9	1	0.313	0.357	0.67	3	0.154	0	2	12	15	0.8	0	0.78	3.85	0.042	6.4	0.239	2013_김지수
39	최준석	두산	0.27	100	263	222	22	60	8	0	7	89	36	0	2	2013	infielder	39	1	0	47	7	0.401	0.376	0.777	12	0.258	0.321	15	62	55	1.13	0	0.83	4.37	0.131	34.7	0.269	2013_최준석
40	박민우	NC	0.268	32	47	41	10	11	1	0	0	12	6	0	1	2013	infielder	5	0	0	6	3	0.293	0.34	0.633	3	0.308	0.4	1	15	10	1.5	0	0.83	3.83	0.024	4.9	0.226	2013_박민우
41	문선재	LG	0.267	93	240	217	31	58	10	1	4	82	25	6	1	2013	infielder	13	0	3	71	1	0.378	0.316	0.694	15	0.313	0.278	15	42	47	0.89	0	0.18	3.63	0.111	26.1	0.237	2013_문선재
42	성의준	삼성	0.267	16	16	15	3	4	2	0	0	6	4	0	0	2013	infielder	1	0	0	6	0	0.4	0.313	0.713	0	0.333	0	2	1	4	0.25	0	0.17	4.5	0.133	1.4	0.241	2013_성의준
43	서건창	넥센	0.266	86	372	316	53	84	13	2	0	101	18	8	4	2013	infielder	33	0	11	29	3	0.32	0.352	0.672	17	0.226	1	15	97	110	0.88	0	1.14	3.88	0.054	42.9	0.238	2013_서건창
43	조평호	NC	0.266	26	86	79	12	21	6	0	2	33	7	1	0	2013	infielder	6	1	0	24	1	0.418	0.318	0.736	5	0.316	0	8	15	19	0.79	0	0.25	4	0.152	10.1	0.248	2013_조평호
45	장성호	롯데	0.266	83	278	241	21	64	10	1	4	88	27	0	0	2013	infielder	35	4	2	36	5	0.365	0.363	0.728	12	0.29	0.357	15	74	67	1.1	0	0.97	4.28	0.1	32.3	0.255	2013_장성호
46	손주인	LG	0.265	125	423	351	42	93	17	3	3	125	41	20	6	2013	infielder	40	0	6	63	8	0.356	0.345	0.701	23	0.284	0	23	99	102	0.97	0	0.63	3.94	0.091	46.4	0.244	2013_손주인
47	한상훈	한화	0.262	101	322	260	45	68	13	4	0	89	25	6	3	2013	infielder	47	0	6	40	7	0.342	0.383	0.725	19	0.29	0.2	17	94	61	1.54	0	1.18	3.91	0.081	37.8	0.258	2013_한상훈
48	서동욱	넥센	0.261	104	265	218	27	57	12	1	6	89	21	12	2	2013	infielder	30	0	3	52	4	0.408	0.356	0.764	11	0.184	0.111	19	56	55	1.02	0	0.58	3.72	0.147	33.5	0.262	2013_서동욱
49	송광민	한화	0.261	67	268	245	33	64	13	0	7	98	33	1	0	2013	infielder	18	0	4	62	8	0.4	0.322	0.722	14	0.243	0	20	69	50	1.38	0	0.29	3.85	0.139	29.1	0.245	2013_송광민
50	오재원	두산	0.26	113	375	308	54	80	14	7	7	129	44	7	5	2013	infielder	49	2	6	62	6	0.419	0.367	0.786	14	0.258	0.333	28	96	75	1.28	0	0.79	3.96	0.159	53.3	0.27	2013_오재원
51	정훈	롯데	0.258	113	398	341	50	88	15	3	5	124	37	14	5	2013	infielder	30	0	8	54	8	0.364	0.328	0.692	18	0.258	0.25	23	100	104	0.96	0	0.56	4.01	0.106	43.1	0.239	2013_정훈
52	최희섭	KIA	0.258	78	305	252	29	65	17	1	11	117	42	0	2	2013	infielder	44	2	7	72	5	0.464	0.38	0.844	15	0.273	0.286	29	42	75	0.56	0	0.61	4.08	0.206	45.6	0.287	2013_최희섭
53	이대수	한화	0.256	122	448	390	54	100	23	2	4	139	42	11	3	2013	infielder	38	0	6	88	10	0.356	0.33	0.686	26	0.293	0.4	29	115	90	1.28	0	0.43	4.37	0.1	46.6	0.238	2013_이대수
54	오지환	LG	0.256	124	514	441	81	113	20	8	9	176	47	7	3	2013	infielder	54	0	9	113	7	0.399	0.347	0.746	26	0.211	0.5	37	100	118	0.85	0	0.48	4.08	0.143	66.6	0.256	2013_오지환
55	김동주	두산	0.256	28	101	82	6	21	2	0	1	26	9	0	4	2013	infielder	10	0	5	9	4	0.317	0.356	0.673	5	0.194	0	3	29	27	1.07	0	1.11	3.71	0.061	11.6	0.239	2013_김동주
56	박종윤	롯데	0.255	115	416	381	37	97	24	2	7	146	58	3	6	2013	infielder	21	3	5	56	9	0.383	0.298	0.681	27	0.252	0.625	33	109	125	0.87	0	0.38	3.68	0.129	43.1	0.23	2013_박종윤
57	임익준	한화	0.254	36	67	63	6	16	1	0	0	17	1	0	0	2013	infielder	4	0	0	13	3	0.27	0.299	0.569	1	0.143	0.222	1	20	14	1.43	0	0.31	3.57	0.016	3.4	0.202	2013_임익준
58	이승엽	삼성	0.253	111	483	443	62	112	24	0	13	175	69	0	8	2013	infielder	30	2	2	94	8	0.395	0.298	0.693	35	0.218	0	37	113	132	0.86	0	0.32	3.87	0.142	53.9	0.233	2013_이승엽
59	손시헌	두산	0.252	93	268	234	35	59	14	1	1	78	26	6	1	2013	infielder	21	0	6	38	5	0.333	0.328	0.661	13	0.264	0.667	16	63	75	0.84	0	0.55	3.75	0.081	26.2	0.231	2013_손시헌
60	박진만	SK	0.25	100	326	276	25	69	14	1	3	94	24	5	3	2013	infielder	37	0	5	47	6	0.341	0.346	0.687	13	0.264	0.1	18	70	93	0.75	0	0.79	4.22	0.091	34.6	0.241	2013_박진만
61	안치홍	KIA	0.249	118	484	414	56	103	15	0	3	127	39	7	5	2013	infielder	52	0	6	74	13	0.307	0.338	0.645	26	0.245	1	18	126	116	1.09	0	0.7	3.84	0.058	48.6	0.229	2013_안치홍
62	이상호	NC	0.248	103	139	125	26	31	7	1	0	40	13	4	0	2013	infielder	10	0	0	21	4	0.32	0.304	0.624	7	0.194	0	8	41	32	1.28	0	0.48	3.41	0.072	14.3	0.217	2013_이상호
63	이범호	KIA	0.248	122	516	436	56	108	17	0	24	197	73	4	5	2013	infielder	62	3	9	79	18	0.452	0.35	0.802	27	0.189	0	41	100	154	0.65	0	0.78	3.97	0.204	68.7	0.271	2013_이범호
64	황정립	KIA	0.244	21	57	45	8	11	2	0	1	16	8	0	0	2013	infielder	10	0	2	13	2	0.356	0.404	0.76	2	0.308	0.333	3	12	9	1.33	0	0.77	4.51	0.111	7.1	0.271	2013_황정립
65	김주형	KIA	0.241	81	279	249	27	60	8	0	9	95	34	0	4	2013	infielder	23	1	3	54	7	0.382	0.308	0.69	15	0.228	1	17	53	86	0.62	0	0.43	3.82	0.141	30.6	0.234	2013_김주형
66	조동찬	삼성	0.24	74	261	221	36	53	15	0	7	89	25	10	1	2013	infielder	25	0	4	54	4	0.403	0.327	0.73	15	0.224	0	22	46	69	0.67	0	0.46	3.69	0.163	30.6	0.248	2013_조동찬
67	조성환	롯데	0.24	74	194	167	15	40	6	0	1	49	12	5	3	2013	infielder	17	0	2	23	0	0.293	0.312	0.605	11	0.194	0.053	7	60	47	1.28	0	0.74	3.86	0.054	18.6	0.214	2013_조성환
68	문규현	롯데	0.238	79	116	101	10	24	2	0	0	26	6	2	2	2013	infielder	11	0	0	23	1	0.257	0.307	0.564	3	0.185	0.167	2	28	28	1	0	0.48	4.03	0.02	9.9	0.202	2013_문규현
69	신명철	삼성	0.236	37	86	72	10	17	1	0	0	18	5	4	1	2013	infielder	9	0	0	20	4	0.25	0.317	0.567	3	0.176	0.167	1	24	12	2	0	0.45	4.12	0.014	5.6	0.205	2013_신명철
70	권용관	LG	0.231	68	122	104	19	24	6	0	4	42	13	5	0	2013	infielder	12	0	1	29	1	0.404	0.316	0.72	7	0.333	0.167	10	18	33	0.55	0	0.41	3.99	0.173	14.1	0.243	2013_권용관
71	오선진	한화	0.23	92	296	256	31	59	8	2	2	77	26	4	3	2013	infielder	23	0	10	49	12	0.301	0.315	0.616	14	0.209	0.273	12	81	70	1.16	0	0.47	4.03	0.07	24.4	0.217	2013_오선진
72	신본기	롯데	0.229	99	281	240	27	55	11	0	1	69	25	12	0	2013	infielder	24	1	5	55	2	0.288	0.312	0.6	14	0.278	0.5	12	72	58	1.24	0	0.44	3.78	0.058	23.4	0.212	2013_신본기
73	차화준	NC	0.226	58	121	106	18	24	6	0	1	33	7	0	2	2013	infielder	12	0	1	29	2	0.311	0.306	0.617	5	0.088	0.13	7	24	31	0.77	0	0.41	3.82	0.085	11.1	0.215	2013_차화준
74	노진혁	NC	0.223	117	361	327	32	73	19	2	3	105	27	5	1	2013	infielder	26	1	1	83	5	0.321	0.282	0.603	15	0.212	0	24	91	81	1.12	0	0.31	4.06	0.098	28.1	0.207	2013_노진혁
75	지석훈	NC	0.22	105	357	309	25	68	21	2	3	102	35	6	4	2013	infielder	31	0	7	82	7	0.33	0.302	0.632	14	0.244	0	26	71	92	0.77	0	0.38	4.09	0.11	32.3	0.218	2013_지석훈
76	정주현	LG	0.217	61	104	83	21	18	4	2	0	26	15	4	1	2013	infielder	16	0	0	19	1	0.313	0.34	0.653	4	0.286	0.6	6	26	21	1.24	0	0.84	3.84	0.096	11.1	0.231	2013_정주현
77	김성현	SK	0.216	97	181	162	27	35	7	1	1	47	16	2	0	2013	infielder	16	0	1	28	6	0.29	0.291	0.581	6	0.289	0.167	9	51	48	1.06	0	0.57	3.81	0.074	10.9	0.203	2013_김성현
78	정병곤	삼성	0.213	54	71	61	12	13	1	0	0	14	5	5	1	2013	infielder	3	0	1	15	2	0.23	0.258	0.488	1	0.211	0	1	19	15	1.27	0	0.2	3.38	0.016	3.5	0.174	2013_정병곤
79	김상호	롯데	0.205	25	50	44	5	9	3	0	0	12	3	0	1	2013	infielder	5	0	0	11	1	0.273	0.28	0.553	1	0.182	0.6	3	10	15	0.67	0	0.45	4	0.068	3.6	0.194	2013_김상호
80	조성우	SK	0.204	54	111	98	17	20	0	0	4	32	11	2	1	2013	infielder	10	0	0	23	0	0.327	0.275	0.602	3	0.238	0.286	4	30	26	1.15	0	0.43	4.14	0.122	11.2	0.206	2013_조성우
81	박승욱	SK	0.2	15	28	25	6	5	0	0	0	5	1	0	0	2013	infielder	3	0	0	9	0	0.2	0.286	0.486	0	0.125	0	0	7	4	1.75	0	0.33	4.68	0	1.8	0.179	2013_박승욱
81	박기혁	롯데	0.2	31	70	60	4	12	2	0	0	14	9	1	0	2013	infielder	9	0	0	11	3	0.233	0.304	0.537	1	0.3	0	2	23	14	1.64	0	0.82	4.07	0.033	3.2	0.195	2013_박기혁
81	유재신	넥센	0.2	75	23	20	22	4	0	0	0	4	2	0	0	2013	infielder	2	0	1	9	1	0.2	0.304	0.504	0	0.667	0	0	4	3	1.33	0	0.22	3.7	0	-0.2	0.187	2013_유재신
81	이학준	한화	0.2	97	181	165	20	33	4	0	1	40	13	5	0	2013	infielder	9	1	2	29	7	0.242	0.25	0.492	5	0.244	0.25	5	58	45	1.29	0	0.31	3.48	0.042	9.4	0.173	2013_이학준
85	최윤석	SK	0.194	45	85	67	10	13	4	0	0	17	4	3	0	2013	infielder	13	0	2	22	3	0.254	0.341	0.595	4	0.278	0	4	14	18	0.78	0	0.59	4.42	0.06	5.8	0.217	2013_최윤석
86	홍재호	KIA	0.194	85	141	124	15	24	2	0	2	32	12	3	0	2013	infielder	13	0	1	17	6	0.258	0.275	0.533	7	0.211	0.125	4	44	39	1.13	0	0.76	4.01	0.065	7.4	0.188	2013_홍재호
87	조정원	한화	0.191	43	57	47	5	9	0	0	0	9	2	2	0	2013	infielder	8	0	0	14	1	0.191	0.309	0.5	0	0.231	0.25	0	8	16	0.5	0	0.57	3.93	0	3.8	0.187	2013_조정원
88	정현	삼성	0.19	8	22	21	3	4	1	0	1	8	2	1	0	2013	infielder	0	0	0	5	1	0.381	0.19	0.571	0	0	0	2	6	6	1	0	0	3.86	0.19	1.3	0.181	2013_정현
89	강명구	삼성	0.19	55	63	58	22	11	0	1	0	13	6	0	0	2013	infielder	4	0	1	4	4	0.224	0.254	0.478	2	0.192	0	1	32	11	2.91	0	1	3.35	0.034	3.7	0.17	2013_강명구
90	전현태	한화	0.152	21	39	33	4	5	1	1	1	11	3	0	0	2013	infielder	4	0	2	14	0	0.333	0.282	0.615	1	0.1	0	3	6	8	0.75	0	0.29	4.33	0.182	3.6	0.21	2013_전현태
91	윤완주	KIA	0.148	47	59	54	11	8	1	0	0	9	4	2	0	2013	infielder	2	0	1	15	1	0.167	0.193	0.36	1	0.267	0	1	19	12	1.58	0	0.13	3.53	0.019	0.6	0.129	2013_윤완주
92	최재원	NC	0.133	52	56	45	4	6	2	0	0	8	3	1	0	2013	infielder	10	0	0	18	1	0.178	0.291	0.469	2	0.143	0.125	2	15	6	2.5	0	0.56	4.32	0.044	2.9	0.175	2013_최재원
93	모상기	삼성	0.125	5	10	8	0	1	0	0	0	1	0	0	0	2013	infielder	2	0	0	3	0	0.125	0.3	0.425	0	0	0	0	0	4	0	0	0.67	4.2	0	0.4	0.166	2013_모상기
93	최영진	LG	0.125	6	8	8	0	1	0	0	0	1	0	0	0	2013	infielder	0	0	0	5	1	0.125	0.125	0.25	0	0	0	0	2	0	-	0	0	3.63	0	-0.5	0.088	2013_최영진
93	김동건	NC	0.125	8	17	16	1	2	0	0	1	5	1	0	0	2013	infielder	1	0	0	7	0	0.313	0.176	0.489	1	0	0	1	2	5	0.4	0	0.14	3.71	0.188	1	0.157	2013_김동건
96	신현철	넥센	0.111	6	11	9	2	1	0	0	0	1	0	0	0	2013	infielder	2	0	0	3	1	0.111	0.273	0.384	0	0	0	0	5	0	-	0	0.67	3.73	0	0.1	0.151	2013_신현철
96	이명환	NC	0.111	5	9	9	0	1	0	0	0	1	0	0	0	2013	infielder	0	0	0	2	1	0.111	0.111	0.222	0	0	0	0	4	2	2	0	0	3.67	0	-0.6	0.078	2013_이명환
98	고영우	KIA	0.091	29	11	11	7	1	0	0	0	1	0	0	0	2013	infielder	0	0	0	6	0	0.091	0.091	0.182	0	0	0	0	0	4	0	0	0	3.64	0	-0.4	0.064	2013_고영우
98	하주석	한화	0.091	5	11	11	0	1	0	0	0	1	0	0	0	2013	infielder	0	0	0	4	1	0.091	0.091	0.182	0	0	0	0	4	2	2	0	0	4.27	0	-1.1	0.064	2013_하주석
100	나주환	SK	0.087	15	24	23	0	2	0	0	0	2	0	1	0	2013	infielder	0	0	0	8	0	0.087	0.087	0.174	0	0	0	0	10	3	3.33	0	0	3.29	0	-0.9	0.061	2013_나주환
101	이여상	한화	0.045	14	22	22	1	1	0	0	0	1	0	0	0	2013	infielder	0	0	0	9	0	0.045	0.045	0.09	0	0	0	0	5	7	0.71	0	0	4.09	0	-1.5	0.032	2013_이여상
102	박인성	SK	0	2	1	1	0	0	0	0	0	0	0	0	0	2013	infielder	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-	1	0	-0.1	0	2013_박인성
102	정규창	SK	0	2	4	4	0	0	0	0	0	0	1	0	0	2013	infielder	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0.5	0	0	3.75	0	-0.4	0	2013_정규창
102	손용석	롯데	0	3	6	6	0	0	0	0	0	0	0	0	0	2013	infielder	0	0	0	3	1	0	0	0	0	0	0	0	2	1	2	0	0	5.17	0	-0.9	0	2013_손용석
102	양종민	롯데	-	1	0	0	1	0	0	0	0	0	0	0	0	2013	infielder	0	0	0	0	0	-	-	-	0	0	0	0	0	0	-	0	-	-	-	0	0	2013_양종민
102	임종혁	롯데	0	11	7	6	4	0	0	0	0	0	0	0	0	2013	infielder	1	0	0	2	0	0	0.143	0.143	0	0	0	0	2	2	1	0	0.5	3.14	0	0.1	0.064	2013_임종혁
